FBK,A,D,Z,Init20,hmm164,CS,3,N,500,H,1,CORETEST,0.07,1,1343,1344,76.47,69.26,39550,3032,9139,3729,51721
FBK,A,D,Z,Flatstart20,hmm164,CS,3,N,500,H,1,CORETEST,0.15,2,1342,1344,76.68,69.48,39662,3018,9041,3724,51721
FBK,,,Z,Init20,hmm164,CS,3,N,500,H,1,CORETEST,0,0,1344,1344,75.51,68.19,39054,3361,9306,3785,51721
FBK,,,Z,Flatstart20,hmm164,CS,3,N,500,H,1,CORETEST,0,0,1344,1344,75.64,68.3,39122,3466,9133,3798,51721
FBK,,D,Z,Init20,hmm164,CS,3,N,500,H,1,CORETEST,0.07,1,1343,1344,75.8,68.97,39205,3110,9406,3535,51721
FBK,,D,Z,Flatstart20,hmm164,CS,3,N,500,H,1,CORETEST,0,0,1344,1344,75.68,68.84,39143,3110,9468,3536,51721
MFC,A,D,Z,Init20,hmm164,CS,3,N,500,H,1,CORETEST,0,0,1344,1344,76.37,69.41,39500,3104,9117,3598,51721
MFC,A,D,Z,Flatstart20,hmm164,CS,3,N,500,H,1,CORETEST,0.15,2,1342,1344,76.74,69.76,39693,3104,8924,3612,51721
MFC,,,Z,Init20,hmm164,CS,3,N,500,H,1,CORETEST,0,0,1344,1344,75.11,67.56,38849,3380,9492,3907,51721
MFC,,D,Z,Init20,hmm164,CS,3,N,500,H,1,CORETEST,0,0,1344,1344,76.52,69.55,39575,3145,9001,3601,51721
MFC,,D,Z,Flatstart20,hmm164,CS,3,N,500,H,1,CORETEST,0.07,1,1343,1344,76.53,69.53,39580,3114,9027,3618,51721
MFC,,,Z,Flatstart20,hmm164,CS,3,N,500,H,1,CORETEST,0,0,1344,1344,75.25,67.54,38921,3422,9378,3991,51721
FBK,A,D,Z,Init20,hmm84,CS,3,N,500,H,1,CORETEST,0,0,1344,1344,76.02,68.74,39316,2998,9407,3762,51721
FBK,A,D,Z,Flatstart20,hmm84,CS,3,N,500,H,1,CORETEST,0.07,1,1343,1344,76.22,69.13,39424,2969,9328,3667,51721
FBK,,,Z,Init20,hmm84,CS,3,N,500,H,1,CORETEST,0,0,1344,1344,75.11,67.92,38849,3430,9442,3720,51721
FBK,,,Z,Flatstart20,hmm84,CS,3,N,500,H,1,CORETEST,0,0,1344,1344,74.57,66.87,38568,3482,9671,3981,51721
FBK,,D,Z,Init20,hmm84,CS,3,N,500,H,1,CORETEST,0.07,1,1343,1344,75.28,68.22,38938,3138,9645,3656,51721
FBK,,D,Z,Flatstart20,hmm84,CS,3,N,500,H,1,CORETEST,0,0,1344,1344,73.34,65.69,37931,3345,10445,3957,51721
MFC,A,D,Z,Init20,hmm84,CS,3,N,500,H,1,CORETEST,0,0,1344,1344,76.89,69.88,39767,3027,8927,3624,51721
MFC,A,D,Z,Flatstart20,hmm84,CS,3,N,500,H,1,CORETEST,0,0,1344,1344,76.48,69.53,39556,3129,9036,3596,51721
MFC,,,Z,Init20,hmm84,CS,3,N,500,H,1,CORETEST,0.07,1,1343,1344,75,67.72,38789,3508,9424,3766,51721
MFC,,D,Z,Init20,hmm84,CS,3,N,500,H,1,CORETEST,0.15,2,1342,1344,76.68,69.7,39662,3131,8928,3611,51721
MFC,,D,Z,Flatstart20,hmm84,CS,3,N,500,H,1,CORETEST,0,0,1344,1344,76.49,69.49,39563,3205,8953,3623,51721
MFC,,,Z,Flatstart20,hmm84,CS,3,N,500,H,1,CORETEST,0.07,1,1343,1344,74.9,67.33,38741,3488,9492,3919,51721
FBK,A,D,Z,Init20,hmm164,CS,4,N,500,H,1,CORETEST,0,0,1344,1344,76.81,70.02,39725,3015,8981,3510,51721
FBK,A,D,Z,Flatstart20,hmm164,CS,4,N,500,H,1,CORETEST,0,0,1344,1344,76.32,69.63,39474,3140,9107,3460,51721
FBK,,,Z,Init20,hmm164,CS,4,N,500,H,1,CORETEST,0,0,1344,1344,74.6,67.35,38584,3547,9590,3750,51721
FBK,,,Z,Flatstart20,hmm164,CS,4,N,500,H,1,CORETEST,0.07,1,1343,1344,75.64,68.75,39122,3498,9101,3562,51721
FBK,,D,Z,Init20,hmm164,CS,4,N,500,H,1,CORETEST,0,0,1344,1344,75.86,69.28,39233,3153,9335,3402,51721
FBK,,D,Z,Flatstart20,hmm164,CS,4,N,500,H,1,CORETEST,0,0,1344,1344,75.57,68.98,39084,3176,9461,3405,51721
MFC,A,D,Z,Init20,hmm164,CS,4,N,500,H,1,CORETEST,0.07,1,1343,1344,76.37,69.51,39501,3172,9048,3551,51721
MFC,A,D,Z,Flatstart20,hmm164,CS,4,N,500,H,1,CORETEST,0,0,1344,1344,76.52,69.96,39577,3225,8919,3395,51721
MFC,,,Z,Init20,hmm164,CS,4,N,500,H,1,CORETEST,0,0,1344,1344,74.99,67.64,38786,3559,9376,3803,51721
MFC,,D,Z,Init20,hmm164,CS,4,N,500,H,1,CORETEST,0.07,1,1343,1344,76.51,69.79,39571,3168,8982,3476,51721
MFC,,D,Z,Flatstart20,hmm164,CS,4,N,500,H,1,CORETEST,0,0,1344,1344,76.41,69.9,39522,3178,9021,3371,51721
MFC,,,Z,Flatstart20,hmm164,CS,4,N,500,H,1,CORETEST,0.07,1,1343,1344,75.08,67.71,38834,3569,9318,3816,51721
FBK,A,D,Z,Init20,hmm84,CS,4,N,500,H,1,CORETEST,0,0,1344,1344,75.6,68.72,39103,3079,9539,3562,51721
FBK,A,D,Z,Flatstart20,hmm84,CS,4,N,500,H,1,CORETEST,0,0,1344,1344,75.82,68.86,39213,3096,9412,3600,51721
FBK,,,Z,Init20,hmm84,CS,4,N,500,H,1,CORETEST,0,0,1344,1344,75.31,68.38,38949,3472,9300,3581,51721
FBK,,,Z,Flatstart20,hmm84,CS,4,N,500,H,1,CORETEST,0,0,1344,1344,74.55,67.34,38560,3595,9566,3733,51721
FBK,,D,Z,Init20,hmm84,CS,4,N,500,H,1,CORETEST,0,0,1344,1344,73.56,66.58,38045,3489,10187,3611,51721
FBK,,D,Z,Flatstart20,hmm84,CS,4,N,500,H,1,CORETEST,0,0,1344,1344,74.34,67.03,38448,3319,9954,3781,51721
MFC,A,D,Z,Init20,hmm84,CS,4,N,500,H,1,CORETEST,0.07,1,1343,1344,76.59,69.78,39611,3101,9009,3520,51721
MFC,A,D,Z,Flatstart20,hmm84,CS,4,N,500,H,1,CORETEST,0,0,1344,1344,76.34,69.49,39483,3230,9008,3544,51721
MFC,,,Z,Init20,hmm84,CS,4,N,500,H,1,CORETEST,0.15,2,1342,1344,75.15,68.03,38867,3580,9274,3680,51721
MFC,,D,Z,Init20,hmm84,CS,4,N,500,H,1,CORETEST,0.15,2,1342,1344,76.22,69.43,39421,3229,9071,3512,51721
MFC,,D,Z,Flatstart20,hmm84,CS,4,N,500,H,1,CORETEST,0.07,1,1343,1344,76.4,69.8,39513,3223,8985,3411,51721
MFC,,,Z,Flatstart20,hmm84,CS,4,N,500,H,1,CORETEST,0,0,1344,1344,75.39,68.07,38992,3486,9243,3787,51721
FBK,A,D,Z,Init20,hmm164,CS,5,N,500,H,1,CORETEST,0,0,1344,1344,76.49,70.12,39560,3101,9060,3291,51721
FBK,A,D,Z,Flatstart20,hmm164,CS,5,N,500,H,1,CORETEST,0.07,1,1343,1344,76.76,69.99,39701,3149,8871,3500,51721
FBK,,,Z,Init20,hmm164,CS,5,N,500,H,1,CORETEST,0,0,1344,1344,75.62,68.75,39113,3421,9187,3554,51721
FBK,,,Z,Flatstart20,hmm164,CS,5,N,500,H,1,CORETEST,0,0,1344,1344,75.36,68.26,38975,3601,9145,3669,51721
FBK,,D,Z,Init20,hmm164,CS,5,N,500,H,1,CORETEST,0.15,2,1342,1344,75.92,69.55,39269,3219,9233,3297,51721
FBK,,D,Z,Flatstart20,hmm164,CS,5,N,500,H,1,CORETEST,0.07,1,1343,1344,75.97,69.6,39290,3197,9234,3291,51721
MFC,A,D,Z,Init20,hmm164,CS,5,N,500,H,1,CORETEST,0,0,1344,1344,76.65,70.24,39644,3158,8919,3313,51721
MFC,A,D,Z,Flatstart20,hmm164,CS,5,N,500,H,1,CORETEST,0.07,1,1343,1344,76.55,70.2,39593,3208,8920,3284,51721
MFC,,,Z,Init20,hmm164,CS,5,N,500,H,1,CORETEST,0,0,1344,1344,75.04,67.78,38811,3552,9358,3756,51721
MFC,,D,Z,Init20,hmm164,CS,5,N,500,H,1,CORETEST,0,0,1344,1344,76.47,70.09,39550,3236,8935,3300,51721
MFC,,D,Z,Flatstart20,hmm164,CS,5,N,500,H,1,CORETEST,0,0,1344,1344,76.6,70,39619,3206,8896,3416,51721
MFC,,,Z,Flatstart20,hmm164,CS,5,N,500,H,1,CORETEST,0,0,1344,1344,75.1,67.73,38844,3652,9225,3814,51721
FBK,A,D,Z,Init20,hmm84,CS,5,N,500,H,1,CORETEST,0.07,1,1343,1344,76.38,69.72,39507,3039,9175,3446,51721
FBK,A,D,Z,Flatstart20,hmm84,CS,5,N,500,H,1,CORETEST,0,0,1344,1344,75.55,68.85,39074,3197,9450,3464,51721
FBK,,,Z,Init20,hmm84,CS,5,N,500,H,1,CORETEST,0.07,1,1343,1344,74.79,67.87,38684,3537,9500,3580,51721
FBK,,,Z,Flatstart20,hmm84,CS,5,N,500,H,1,CORETEST,0.07,1,1343,1344,74.4,67.51,38480,3763,9478,3561,51721
FBK,,D,Z,Init20,hmm84,CS,5,N,500,H,1,CORETEST,0,0,1344,1344,73.88,67.08,38213,3526,9982,3518,51721
FBK,,D,Z,Flatstart20,hmm84,CS,5,N,500,H,1,CORETEST,0,0,1344,1344,74.81,68.05,38690,3377,9654,3495,51721
MFC,A,D,Z,Init20,hmm84,CS,5,N,500,H,1,CORETEST,0,0,1344,1344,76.5,69.91,39566,3179,8976,3409,51721
MFC,A,D,Z,Flatstart20,hmm84,CS,5,N,500,H,1,CORETEST,0.15,2,1342,1344,76.45,69.98,39540,3290,8891,3348,51721
MFC,,,Z,Init20,hmm84,CS,5,N,500,H,1,CORETEST,0,0,1344,1344,75.11,68.2,38848,3634,9239,3572,51721
MFC,,D,Z,Init20,hmm84,CS,5,N,500,H,1,CORETEST,0,0,1344,1344,76.52,70.01,39577,3201,8943,3367,51721
MFC,,D,Z,Flatstart20,hmm84,CS,5,N,500,H,1,CORETEST,0,0,1344,1344,76.19,69.54,39404,3322,8995,3438,51721
MFC,,,Z,Flatstart20,hmm84,CS,5,N,500,H,1,CORETEST,0,0,1344,1344,75.28,68.38,38933,3545,9243,3568,51721
FBK,A,D,Z,Init20,hmm164,CS,6,N,500,H,1,CORETEST,0,0,1344,1344,76.06,69.4,39339,3155,9227,3445,51721
FBK,A,D,Z,Flatstart20,hmm164,CS,6,N,500,H,1,CORETEST,0,0,1344,1344,76.56,70.21,39596,3049,9076,3284,51721
FBK,,,Z,Init20,hmm164,CS,6,N,500,H,1,CORETEST,0,0,1344,1344,75.1,68.3,38842,3591,9288,3518,51721
FBK,,,Z,Flatstart20,hmm164,CS,6,N,500,H,1,CORETEST,0.07,1,1343,1344,75.7,68.81,39151,3597,8973,3562,51721
FBK,,D,Z,Init20,hmm164,CS,6,N,500,H,1,CORETEST,0.07,1,1343,1344,75.78,69.27,39195,3255,9271,3369,51721
FBK,,D,Z,Flatstart20,hmm164,CS,6,N,500,H,1,CORETEST,0,0,1344,1344,75.73,69.44,39166,3301,9254,3250,51721
MFC,A,D,Z,Init20,hmm164,CS,6,N,500,H,1,CORETEST,0,0,1344,1344,76.4,69.98,39513,3237,8971,3318,51721
MFC,A,D,Z,Flatstart20,hmm164,CS,6,N,500,H,1,CORETEST,0,0,1344,1344,76.82,70.53,39732,3216,8773,3255,51721
MFC,,,Z,Init20,hmm164,CS,6,N,500,H,1,CORETEST,0,0,1344,1344,75.08,67.94,38833,3617,9271,3692,51721
MFC,,D,Z,Init20,hmm164,CS,6,N,500,H,1,CORETEST,0,0,1344,1344,76.2,69.78,39409,3305,9007,3317,51721
MFC,,D,Z,Flatstart20,hmm164,CS,6,N,500,H,1,CORETEST,0.07,1,1343,1344,76.43,69.96,39528,3296,8897,3343,51721
MFC,,,Z,Flatstart20,hmm164,CS,6,N,500,H,1,CORETEST,0.07,1,1343,1344,74.97,67.8,38777,3645,9299,3711,51721
FBK,A,D,Z,Init20,hmm84,CS,6,N,500,H,1,CORETEST,0,0,1344,1344,75.54,68.91,39068,3136,9517,3428,51721
FBK,A,D,Z,Flatstart20,hmm84,CS,6,N,500,H,1,CORETEST,0.15,2,1342,1344,76.22,69.98,39424,3193,9104,3232,51721
FBK,,,Z,Init20,hmm84,CS,6,N,500,H,1,CORETEST,0.07,1,1343,1344,74.97,68.19,38773,3633,9315,3504,51721
FBK,,,Z,Flatstart20,hmm84,CS,6,N,500,H,1,CORETEST,0,0,1344,1344,74.48,67.55,38521,3721,9479,3584,51721
FBK,,D,Z,Init20,hmm84,CS,6,N,500,H,1,CORETEST,0,0,1344,1344,74.14,67.42,38344,3441,9936,3476,51721
FBK,,D,Z,Flatstart20,hmm84,CS,6,N,500,H,1,CORETEST,0.07,1,1343,1344,74.11,67.5,38329,3464,9928,3416,51721
MFC,A,D,Z,Init20,hmm84,CS,6,N,500,H,1,CORETEST,0.15,2,1342,1344,76.22,69.81,39421,3244,9056,3314,51721
MFC,A,D,Z,Flatstart20,hmm84,CS,6,N,500,H,1,CORETEST,0.07,1,1343,1344,76.1,69.96,39361,3430,8930,3178,51721
MFC,,,Z,Init20,hmm84,CS,6,N,500,H,1,CORETEST,0.07,1,1343,1344,74.35,67.48,38453,3750,9518,3554,51721
MFC,,D,Z,Init20,hmm84,CS,6,N,500,H,1,CORETEST,0,0,1344,1344,75.93,69.41,39274,3344,9103,3377,51721
MFC,,D,Z,Flatstart20,hmm84,CS,6,N,500,H,1,CORETEST,0,0,1344,1344,76.41,70.06,39522,3343,8856,3287,51721
MFC,,,Z,Flatstart20,hmm84,CS,6,N,500,H,1,CORETEST,0.15,2,1342,1344,74.53,67.61,38549,3717,9455,3580,51721
